标的名称,代码,收盘价,收盘日期
中国移动,00941.HK,81.45,2026-04-17
中国平安,02318.HK,60.60,2026-04-17
网易,09999.HK,182.30,2026-04-17
百度集团,09888.HK,121.90,2026-04-17
理想汽车,02015.HK,71.45,2026-04-17
蔚来,09866.HK,54.50,2026-04-17
小鹏汽车,09868.HK,69.70,2026-04-17
新鸿基地产,00016.HK,133.00,2026-04-17
香港交易所,00388.HK,408.60,2026-04-17
长和,00001.HK,64.05,2026-04-17
携程集团,09961.HK,427.60,2026-04-17
京东健康,06618.HK,48.46,2026-04-17
海尔智家,06690.HK,20.98,2026-04-17
比亚迪电子,00285.HK,28.30,2026-04-17
中远海控,01919.HK,14.70,2026-04-17
